Player,Team,Opponent,Position,Line,Proj Goals,Proj Assists,Proj SOG,Proj Blocks,DK Points
Blake Lizotte,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Philip Tomasino,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Sam Poulin,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Tristan Broz,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Ville Koivunen,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Rutger McGroarty,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Owen Pickering,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Harrison Brunicke,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Ben Kindel,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Brendan Gallagher,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Mike Matheson,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Josh Anderson,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Jake Evans,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Alexandre Carrier,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Patrik Laine,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Nick Suzuki,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Alexandre Texier,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Joe Veleno,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Noah Dobson,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Kirby Dach,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Cole Caufield,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Jayden Struble,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Alex Newhook,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Kaiden Guhle,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Zack Bolduc,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Joshua Roy,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Oliver Kapanen,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Arber Xhekaj,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Owen Beck,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Lane Hutson,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Juraj Slafkovský,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Adam Engstrom,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Jared Davidson,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Florian Xhekaj,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Ivan Demidov,MTL,STL,F,NA,0.0,0.0,0.0,0.0,0.0
Brayden Schenn,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Justin Faulk,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Nick Bjugstad,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Cam Fowler,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Colton Parayko,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Oskar Sundqvist,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Pavel Buchnevich,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Nathan Walker,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Mathieu Joseph,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Jordan Kyrou,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Robert Thomas,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Alexey Toropchenko,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Pius Suter,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Tyler Tucker,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Philip Broberg,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Hunter Skinner,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Dylan Holloway,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Jake Neighbours,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Matthew Kessel,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Logan Mailloux,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Aleksanteri Kaskimaki,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Jimmy Snuggerud,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Dalibor Dvorsky,STL,MTL,F,NA,0.0,0.0,0.0,0.0,0.0
Sam Carrick,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
