PlayerRaw,NormName,SV_season,SV_recent,SV_last
Elias Lindholm,ELIAS LINDHOLM,0.875,0.875,0.8702
Sean Monahan,SEAN MONAHAN,0.8992,0.8992,0.8832
Darnell Nurse,DARNELL NURSE,0.8845999999999999,0.8845999999999999,0.8944
Bo Horvat,BO HORVAT,0.8692,0.8692,0.8856
Valeri Nichushkin,VALERI NICHUSHKIN,0.9113,0.9113,0.8883
Max Domi,MAX DOMI,0.8571,0.8571,0.9154000000000001
Josh Morrissey,JOSH MORRISSEY,0.8896999999999999,0.8896999999999999,0.9143000000000001
Alexander Wennberg,ALEXANDER WENNBERG,0.8676,0.8676,0.8659
Ryan Pulock,RYAN PULOCK,0.8926999999999999,0.8926999999999999,0.8973
Nikita Zadorov,NIKITA ZADOROV,0.9079999999999999,0.9079999999999999,0.9094
Curtis Lazar,CURTIS LAZAR,0.8957999999999999,0.8957999999999999,0.92
Anthony Mantha,ANTHONY MANTHA,0.9235,0.9235,0.9459000000000001
Ross Johnston,ROSS JOHNSTON,0.8946999999999999,0.8946999999999999,0.9416
Dakota Mermis,DAKOTA MERMIS,0.9118,0.9118,0.8387
Nathan Walker,NATHAN WALKER,0.8298000000000001,0.8298000000000001,0.9007999999999999
Joel Hanley,JOEL HANLEY,0.8706,0.8706,0.922
Conor Sheary,CONOR SHEARY,0.9419,0.9419,0.8519
Trevor van Riemsdyk,TREVOR VAN RIEMSDYK,0.9109999999999999,0.9109999999999999,0.919
Garnet Hathaway,GARNET HATHAWAY,0.8981,0.8981,0.9006000000000001
Frederic Gaudreau,FREDERIC GAUDREAU,0.878,0.878,
Aaron Ekblad,AARON EKBLAD,0.8745,0.8745,0.8989
Sam Reinhart,SAM REINHART,0.851,0.851,0.8745999999999999
Leon Draisaitl,LEON DRAISAITL,0.8756,0.8756,0.9048999999999999
Sam Bennett,SAM BENNETT,0.8795000000000001,0.8795000000000001,0.8756
Haydn Fleury,HAYDN FLEURY,0.8618000000000001,0.8618000000000001,0.8976999999999999
William Nylander,WILLIAM NYLANDER,0.875,0.875,0.9086
Nikolaj Ehlers,NIKOLAJ EHLERS,0.9091,0.9091,0.9063
Kevin Fiala,KEVIN FIALA,0.8906999999999999,0.8906999999999999,0.883
Dylan Larkin,DYLAN LARKIN,0.8789,0.8789,0.87
Sonny Milano,SONNY MILANO,0.8946999999999999,0.8946999999999999,0.8125
Travis Sanheim,TRAVIS SANHEIM,0.8863,0.8863,0.8748999999999999
Alex Tuch,ALEX TUCH,0.8865000000000001,0.8865000000000001,0.878
Tony DeAngelo,TONY DEANGELO,0.8931999999999999,0.8931999999999999,0.8786
Nick Schmaltz,NICK SCHMALTZ,0.8478,0.8478,0.8748
Kasperi Kapanen,KASPERI KAPANEN,0.8332999999999999,0.8332999999999999,0.868
Jared McCann,JARED MCCANN,0.8919,0.8919,0.8786
David Pastrnak,DAVID PASTRNAK,0.867,0.867,0.8718
Adrian Kempe,ADRIAN KEMPE,0.8923000000000001,0.8923000000000001,0.8973
Ivan Barbashev,IVAN BARBASHEV,0.8869,0.8869,0.9193000000000001
Marcus Pettersson,MARCUS PETTERSSON,0.8893000000000001,0.8893000000000001,0.8862000000000001
Brandon Montour,BRANDON MONTOUR,0.9348000000000001,0.9348000000000001,0.8906000000000001
Ryan Donato,RYAN DONATO,0.9036,0.9036,0.8815000000000001
Christian Dvorak,CHRISTIAN DVORAK,0.8815999999999999,0.8815999999999999,0.8943000000000001
Justin Kirkland,JUSTIN KIRKLAND,0.8974,0.8974,0.9561
Juho Lammikko,JUHO LAMMIKKO,0.9296,0.9296,
Warren Foegele,WARREN FOEGELE,0.9270999999999999,0.9270999999999999,0.9186
Brayden Point,BRAYDEN POINT,0.8621,0.8621,0.8989
Jake Walman,JAKE WALMAN,0.8639,0.8639,0.8706
Michael Amadio,MICHAEL AMADIO,0.8571,0.8571,0.9272
Devon Toews,DEVON TOEWS,0.9146,0.9146,0.8967
Viktor Arvidsson,VIKTOR ARVIDSSON,0.9084,0.9084,0.8946
Sam Lafferty,SAM LAFFERTY,0.875,0.875,0.8943000000000001
Danton Heinen,DANTON HEINEN,0.9512,0.9512,0.9013
Michael Bunting,MICHAEL BUNTING,0.8613,0.8613,0.8814
Gustav Forsling,GUSTAV FORSLING,0.8759,0.8759,0.9081
Dakota Joshua,DAKOTA JOSHUA,0.8826999999999999,0.8826999999999999,0.8839
Dysin Mayo,DYSIN MAYO,0.75,0.75,
Sammy Blais,SAMMY BLAIS,0.7726999999999999,0.7726999999999999,
Victor Olofsson,VICTOR OLOFSSON,0.8984000000000001,0.8984000000000001,0.9331
Jake Evans,JAKE EVANS,0.841,0.841,0.8837999999999999
Jake Middleton,JAKE MIDDLETON,0.9234,0.9234,0.9162
Bokondji Imama,BOKONDJI IMAMA,1.0,1.0,0.9565
Hayden Hodgson,HAYDEN HODGSON,0.8929,0.8929,0.75
Darren Raddysh,DARREN RADDYSH,0.9036,0.9036,0.9081
Dryden Hunt,DRYDEN HUNT,0.75,0.75,0.8621
Andrew Mangiapane,ANDREW MANGIAPANE,0.8034,0.8034,0.9154000000000001
